Exchange Date,Close,Net,%Chg
45110,262.4254,-0.3129,-0.001190919
45107,262.7383,1.3724,0.005250876
45106,261.3659,-2.545,-0.009643406
45105,263.9109,1.0742,0.004086948
45104,262.8367,-1.1394,-0.0043163
45103,263.9761,0.2879,0.00109182
45100,263.6882,1.0308,0.003924504
45099,262.6574,-1.3085,-0.00495708
45098,263.9659,0.0101,3.8264E-05
45097,263.9558,1.0177,0.003870493
45093,262.9381,-1.0946,-0.004145699
45092,264.0327,2.4738,0.009457908
45091,261.5589,0.7767,0.002978347
45090,260.7822,-1.7312,-0.006594711
45089,262.5134,0.1572,0.000599185
45086,262.3562,-0.9236,-0.003508055
45085,263.2798,1.6648,0.006363549
45084,261.615,-1.9414,-0.007366165
45083,263.5564,0.1798,0.000682673
45082,263.3766,0.5843,0.002223429
45079,262.7923,-1.8547,-0.007008203
45078,264.647,0.4159,0.001574001
45077,264.2311,0.588,0.002230288
45076,263.6431,1.9245,0.007353318
45072,261.7186,0.3334,0.001275512
45071,261.3852,-1.8688,-0.007098848
45070,263.254,-1.2333,-0.004662984
45069,264.4873,1.2624,0.004795899
45068,263.2249,-0.5661,-0.002146017
45065,263.791,-0.8093,-0.003058576
45064,264.6003,-1.5311,-0.005753173
45063,266.1314,-0.4704,-0.001764429
45062,266.6018,-0.8087,-0.003024189
45061,267.4105,-0.3977,-0.001485018
45058,267.8082,-1.3579,-0.00504484
45057,269.1661,0.7142,0.002660439
45056,268.4519,1.2214,0.004570586
45055,267.2305,-0.4724,-0.001764643
45054,267.7029,-1.2398,-0.004609904
45051,268.9427,-0.8919,-0.003305358
45050,269.8346,-0.4719,-0.001745796
45049,270.3065,1.77,0.006591283
45048,268.5365,2.8679,0.010795028
45047,265.6686,-2.673,-0.009961184
45044,268.3416,0.4978,0.001858546
45043,267.8438,-1.7164,-0.006367409
45042,269.5602,-0.827,-0.003058577
45041,270.3872,2.0422,0.007610352
45040,268.345,1.7342,0.006504613
45037,266.6108,-0.3208,-0.001201806
45036,266.9316,1.0677,0.004015965
45035,265.8639,-0.4051,-0.001521394
45034,266.269,0.185,0.000695269
45033,266.084,-1.9324,-0.007210007
45030,268.0164,-1.2489,-0.004638177
45029,269.2653,-0.6564,-0.002431816
45028,269.9217,0.2277,0.00084429
45027,269.694,0.3091,0.001147429
45026,269.3849,0.4273,0.001588726
45023,268.9576,-2.5057,-0.009230345
45022,271.4633,0.3119,0.00115028
45021,271.1514,0.8583,0.003175442
45020,270.2931,0.7291,0.002704738
45019,269.564,1.538,0.005738249
45016,268.026,1.1275,0.004224452
45015,266.8985,0.4972,0.001866357
45014,266.4013,0.5363,0.002017189
45013,265.865,0.8744,0.00329974
45012,264.9906,-2.5384,-0.009488317
45009,267.529,-0.8024,-0.002990332
45008,268.3314,1.2092,0.004526767
45007,267.1222,4.3897,0.016707868
45006,262.7325,-0.5516,-0.002095075
45005,263.2841,0.3111,0.001183011
45002,262.973,0.8297,0.003165063
45001,262.1433,-3.9414,-0.014812577
45000,266.0847,3.9245,0.014969854
44999,262.1602,-1.3867,-0.005261682
44998,263.5469,8.0306,0.031428915
44994,255.5163,0.6986,0.002741568
44993,254.8177,-1.5532,-0.00605841
44992,256.3709,-3.038,-0.01171124
44988,259.4089,3.1607,0.012334526
44987,256.2482,0.0309,0.000120601
44986,256.2173,-1.2287,-0.004772651
44985,257.446,0.7719,0.003007316
44984,256.6741,0.5237,0.002044502
