Exchange Date;Close;Adjusted Close;Net;%Chg;Open;Low;High;Volume;Turnover - EUR;Flow
09. Jan 24;192.75;;0.58;0.3%;190.54;189.65;196.27;386.121;74786320.57;4236694013.13
08. Jan 24;192.16;;Mai 59;2.99%;186.32;186.31;196.51;837.176;161126065.47;4155083625.2
05. Jan 24;186.58;;-1.38;-0.73%;186.46;185.89;192.87;545.266;102462540.02;3996843714.78
04. Jan 24;187.96;;-0.91;-0.48%;188.36;186.45;192.83;544.608;103098351.77;4098588644.1
03. Jan 24;188.87;;-6.94;-3.54%;193.07;186.72;193.86;685.584;129845313.4;4210147107.8
02. Jan 24;195.81;;-9.75;-4.74%;205.22;191.39;206.62;955.656;187656391.75;4329659895.86
29. Dez 23;205.56;;-5.21;-2.47%;211.22;204.23;213.85;424.899;87757831.49;4480920215.53
28. Dez 23;210.77;;-2.07;-0.97%;213.65;210.41;214.3;237.562;50215630.12;4559148728.37
27. Dez 23;212.83;;Jan 22;0.57%;211.93;211.19;215.29;236.699;50297208.19;4591115304.7
26. Dez 23;211.62;;-4.78;-2.21%;216.7;206.83;221.4;396.300;83890916.78;4565875127.95
22. Dez 23;216.4;;-0.34;-0.16%;217.13;213.43;217.13;263.920;56973838.85;4663320567.4
21. Dez 23;216.73;;02. Dez;0.99%;217.54;213.23;219.77;377.248;81434707.53;4721125928.93
20. Dez 23;214.62;;-5.06;-2.31%;219.13;213.26;220.43;542.740;117803766.2;4669365060.87
19. Dez 23;219.68;;-0.24;-0.11%;222.15;219.11;223.93;652.569;144324957.78;4768894392.35
18. Dez 23;219.92;;Jul 43;3.5%;211.75;209.81;221.34;615.177;134519460.03;4649095012.8
15. Dez 23;212.49;;-1.04;-0.49%;216.91;210.11;218.11;855.141;182594393.29;4526212327.6
14. Dez 23;213.53;;-0.83;-0.39%;213.4;207.1;218.13;940.651;199802677.31;4667255710.54
13. Dez 23;214.36;;Apr 68;2.23%;209.23;207.24;215.86;914.079;194203582.47;4515916237.13
12. Dez 23;209.67;;Aug 83;4.4%;200.82;199.51;214.05;1.470.956;307055111.69;4354135719.89
11. Dez 23;200.85;;Jan 28;0.64%;199.47;195.61;204.22;685.977;137851108.79;4058742154.28
08. Dez 23;199.56;;Mrz 66;1.87%;194.22;193.31;203.51;433.448;86810237.52;3920891045.49
07. Dez 23;195.9;;-1.88;-0.95%;198.92;193.98;198.92;451.424;88547411.27;3823064757.09
06. Dez 23;197.78;;-5.38;-2.65%;206.21;196.53;209.07;736.778;147011399.73;3922545652.27
05. Dez 23;203.16;;Feb 92;1.46%;199.26;195.47;204.45;333.280;67376784.26;4057075091.61
04. Dez 23;200.24;;Apr 21;2.15%;196.27;192.77;203.94;661.761;132320909.27;3974624151.71
01. Dez 23;196.03;;01. Feb;0.52%;195.29;189.9;198.07;692.019;135301377.68;3826398600.97
30. Nov 23;195.01;;-5.12;-2.56%;202.14;191.74;203.37;888.801;173185424.8;3689410378.65
29. Nov 23;200.14;;-1.17;-0.58%;202.72;197.44;206.05;463.304;92984113.89;3833708644.4
28. Nov 23;201.31;;-1.14;-0.56%;200.62;198.08;202.53;421.632;84724258.12;3918854360.48
27. Nov 23;202.45;;0;0,00%;201.57;201.36;207.06;677.143;138160502.44;4017086384.51
24. Nov 23;202.45;;Jan 69;0.84%;198.52;198.52;203.39;270.580;54639361.48;3883896739.67
22. Nov 23;200.76;;Mrz 74;1.9%;199.31;195.19;202.04;988.773;197729460.21;3847562548.78
21. Nov 23;197.02;;-0.83;-0.42%;196.17;192.52;199.72;452.290;88959128.4;3642442268.95
20. Nov 23;197.85;;03. Aug;1.96%;192.84;192.84;200.51;600.759;118585945.15;3721509827.43
17. Nov 23;194.05;;02. Apr;1.25%;191.1;187.95;196.39;774.170;150054063.91;3613170209.39
16. Nov 23;191.65;;Feb 58;1.37%;188.25;183.47;192.79;792.728;150672347.31;3481322397.19
15. Nov 23;189.07;;-12.52;-6.21%;202.51;188.17;202.82;1.423.945;273499799.89;3331878725.34
14. Nov 23;201.59;;Feb 17;1.09%;200.39;195.41;204.98;1.023.760;204607542.59;3594429436.44
13. Nov 23;199.42;;Jan 38;0.7%;193.58;189.4;200.73;1.367.039;267311836.61;3447499020.06
10. Nov 23;198.04;;07. Jul;4.05%;190.48;185.58;203.31;1.773.118;349095168.41;3184949776.04
09. Nov 23;190.34;;34.12;21.84%;173.45;172.51;190.8;3.446.390;633024715.05;2839852864.58
08. Nov 23;156.23;;Feb 44;1.59%;155.27;151.4;156.44;1.165.330;182515357.34;2198378009.74
07. Nov 23;153.78;;Jun 94;4.73%;147.21;147.21;155.96;885.953;136097476.29;2017373518.76
06. Nov 23;146.84;;-1.66;-1.12%;150.08;141.02;151.09;667.468;97290961.67;1878458164.01
03. Nov 23;148.5;;Jul 17;5.07%;141.67;141.67;152.08;744.085;110811614.64;1973166364.06
02. Nov 23;141.34;;0.71;0.5%;145;140.45;145.9;504.389;71701156.78;1881476829.73
01. Nov 23;140.63;;Feb 54;1.84%;139.73;136.41;140.99;348.666;48629179.43;1818674444.6
31. Okt 23;138.1;;03. Feb;2.23%;136.16;133.79;138.73;515.721;70828193.56;1768717146.66
30. Okt 23;135.08;;-0.83;-0.61%;137.05;132.98;137.9;463.104;62347618.46;1691963203.21
27. Okt 23;135.9;;01. Apr;1.04%;136.81;134.18;140.12;568.103;77487738.64;1762447112.1
26. Okt 23;134.51;;-9.25;-6.43%;142.05;132.73;143.66;1.138.470;154245980.23;1685600171.02
25. Okt 23;143.76;;-8.09;-5.33%;151.37;143.27;152.74;550.140;79786176.67;1839321574.48
24. Okt 23;151.84;;Feb 65;1.78%;151.1;149.04;154.18;499.178;75537134.28;1914587195.24
23. Okt 23;149.19;;Apr 16;2.87%;141.08;141.08;152.76;662.936;98.953.138,00;1825244577.54
20. Okt 23;145.03;;0.44;0.31%;143.14;139.85;145.22;939.011;134177629.44;1738519751.59
19. Okt 23;144.59;;-13.36;-8.46%;157.86;141.11;159.65;1.557.650;229341249.54;1606466470.85
18. Okt 23;157.95;;-3.56;-2.21%;161.03;155.99;162.69;273.496;43353647.22;1843479010.6
17. Okt 23;161.51;;Mrz 15;1.99%;157.43;156.23;163.49;480.902;77519652.35;1879696557.4
16. Okt 23;158.36;;06. Feb;3.95%;153.1;152.16;158.74;560.834;87446356.84;1805073713.41
13. Okt 23;152.35;;-14.02;-8.43%;166.39;152.01;166.46;736.884;115094892.23;1725642890.45
12. Okt 23;166.37;;Mrz 42;2.1%;165.86;161.68;168.63;468.241;77687159.45;1837758773.05
11. Okt 23;162.95;;-2.66;-1.6%;167.66;161.63;169.39;500.877;82189244.17;1744991055.16
10. Okt 23;165.6;;0.68;0.41%;165.05;163.19;168.84;436.750;72697606.3;1829585785.71
09. Okt 23;164.92;;Sep 77;6.3%;153.75;153.75;165.21;869.614;140591929.36;1763203163.48
06. Okt 23;155.15;;-0.21;-0.13%;152.6;151.87;157.05;596.029;92406065.86;1619388366.01
05. Okt 23;155.36;;0.04;0.03%;154.45;150.91;155.72;384.480;59233629.3;1532494463.14
04. Okt 23;155.32;;Mrz 94;2.6%;152.58;150.25;156.17;441.983;68268901.49;1479570035.87
03. Okt 23;151.38;;-7.03;-4.44%;155.91;150.34;158.32;610.662;93616950.19;1416429850.51
02. Okt 23;158.41;;Jan 48;0.95%;158.46;155.59;160.74;745.443;117733043.05;1508450740.47
29. Sep 23;156.92;;Jun 21;4.12%;153.73;153.44;165.28;823.638;131404285.74;1378348445.36
28. Sep 23;150.72;;Mrz 82;2.6%;150.18;147.47;152.86;500.227;75356181.49;1248249004.63
27. Sep 23;146.9;;Mai 53;3.91%;143.91;142.85;147.14;271.619;39587229.94;1179481412.9
26. Sep 23;141.36;;-3.17;-2.19%;142.79;140.13;146.04;313.253;44427798.19;1132341806.5
25. Sep 23;144.53;;Jan 21;0.84%;142.38;141.64;146.25;285.114;41174776.78;1174555550.87
22. Sep 23;143.33;;0.36;0.25%;144.79;142.65;147.62;339.083;48980849.1;1126779418.31
21. Sep 23;142.96;;-4.19;-2.85%;143.94;137.92;144.49;559.260;79040622.13;1077190091.02
20. Sep 23;147.15;;-4.9;-3.22%;153.44;146.99;154.26;389.328;58212183.85;1156119804.91
19. Sep 23;152.06;;-2.17;-1.41%;153.92;150.41;156;475.452;72759327.58;1212286896.14
18. Sep 23;154.23;;04. Mai;3.01%;147.04;145.96;156.55;890.896;137171700.45;1283482089.25
15. Sep 23;149.72;;Jan 23;0.83%;148.38;147.8;150.67;1.201.327;179642459.02;1150084653.59
14. Sep 23;148.49;;-1.25;-0.83%;151.86;148.49;153.21;270.648;40624544.85;971714017.42
13. Sep 23;149.74;;0.79;0.53%;149.61;148.71;152.4;459.286;68818261.23;1004130062.39
12. Sep 23;148.95;;-1.2;-0.8%;148.07;147.89;150.69;363.163;54186819.97;933224723.53
11. Sep 23;150.15;;Mrz 86;2.64%;147.92;145.66;152.11;431.216;64614566.6;987783126.02
08. Sep 23;146.29;;0.27;0.19%;145.1;145.1;150.39;372.020;54850263.07;927395403.57
