Exchange Date,Close,Net,%Chg,Open,Low,High
45467,11878.0392,-35.7427,-0.003000114,11878.0392,11878.0392,11878.0392
45464,11913.7819,-18.0211,-0.001510342,11913.7819,11913.7819,11913.7819
45463,11931.803,-30.1281,-0.002518665,11931.803,11931.803,11931.803
45461,11961.9311,30.4553,0.002552517,11961.9311,11961.9311,11961.9311
45460,11931.4758,92.2088,0.007788388,11931.4758,11931.4758,11931.4758
45457,11839.267,-1.7556,-0.000148264,11839.267,11839.267,11839.267
45456,11841.0226,27.8476,0.002357334,11841.0226,11841.0226,11841.0226
45455,11813.175,99.8788,0.008526959,11813.175,11813.175,11813.175
45454,11713.2962,31.7531,0.002718228,11713.2962,11713.2962,11713.2962
45453,11681.5431,31.0525,0.002665338,11681.5431,11681.5431,11681.5431
45450,11650.4906,-10.8778,-0.000932806,11650.4906,11650.4906,11650.4906
45449,11661.3684,-2.1811,-0.000187001,11661.3684,11661.3684,11661.3684
45448,11663.5495,136.7445,0.011863175,11663.5495,11663.5495,11663.5495
45447,11526.805,17.9182,0.001556901,11526.805,11526.805,11526.805
45446,11508.8868,14.1904,0.001234517,11508.8868,11508.8868,11508.8868
45443,11494.6964,92.5942,0.008120801,11494.6964,11494.6964,11494.6964
45442,11402.1022,-67.3578,-0.005872796,11402.1022,11402.1022,11402.1022
45441,11469.46,-84.991,-0.007355693,11469.46,11469.46,11469.46
45440,11554.451,2.8894,0.000250131,11554.451,11554.451,11554.451
45436,11551.5616,80.5836,0.007024998,11551.5616,11551.5616,11551.5616
45435,11470.978,-84.8641,-0.007343827,11470.978,11470.978,11470.978
45434,11555.8421,-31.2107,-0.002693584,11555.8421,11555.8421,11555.8421
45433,11587.0528,29.2094,0.002527236,11587.0528,11587.0528,11587.0528
45432,11557.8434,11.5671,0.001001803,11557.8434,11557.8434,11557.8434
45429,11546.2763,13.9198,0.001207021,11546.2763,11546.2763,11546.2763
45428,11532.3565,-21.6863,-0.001876945,11532.3565,11532.3565,11532.3565
45427,11554.0428,135.9184,0.011903741,11554.0428,11554.0428,11554.0428
45426,11418.1244,56.661,0.004987122,11418.1244,11418.1244,11418.1244
45425,11361.4634,-2.5735,-0.00022646,11361.4634,11361.4634,11361.4634
45422,11364.0369,20.4897,0.001806287,11364.0369,11364.0369,11364.0369
45421,11343.5472,59.6328,0.005284762,11343.5472,11343.5472,11343.5472
45420,11283.9144,-0.0407,-3.60689E-06,11283.9144,11283.9144,11283.9144
45419,11283.9551,15.7249,0.001395508,11283.9551,11283.9551,11283.9551
45418,11268.2302,115.4732,0.010353781,11268.2302,11268.2302,11268.2302
45415,11152.757,138.8435,0.012606191,11152.757,11152.757,11152.757
45414,11013.9135,99.8052,0.009144604,11013.9135,11013.9135,11013.9135
45413,10914.1083,-37.5535,-0.003429023,10914.1083,10914.1083,10914.1083
45412,10951.6618,-174.6192,-0.015694301,10951.6618,10951.6618,10951.6618
45411,11126.281,35.8173,0.003229558,11126.281,11126.281,11126.281
45408,11090.4637,112.2656,0.010226232,11090.4637,11090.4637,11090.4637
45407,10978.1981,-50.2609,-0.004557382,10978.1981,10978.1981,10978.1981
45406,11028.459,2.4003,0.000217693,11028.459,11028.459,11028.459
45405,11026.0587,130.5913,0.011985837,11026.0587,11026.0587,11026.0587
45404,10895.4674,94.3067,0.008731163,10895.4674,10895.4674,10895.4674
45401,10801.1607,-94.9101,-0.008710489,10801.1607,10801.1607,10801.1607
45400,10896.0708,-23.4213,-0.002144907,10896.0708,10896.0708,10896.0708
45399,10919.4921,-63.5007,-0.00578173,10919.4921,10919.4921,10919.4921
45398,10982.9928,-22.6155,-0.002054907,10982.9928,10982.9928,10982.9928
45397,11005.6083,-133.7751,-0.012009202,11005.6083,11005.6083,11005.6083
45394,11139.3834,-163.1425,-0.014434163,11139.3834,11139.3834,11139.3834
45393,11302.5259,83.7941,0.007469124,11302.5259,11302.5259,11302.5259
45392,11218.7318,-106.8989,-0.009438671,11218.7318,11218.7318,11218.7318
45391,11325.6307,17.9728,0.001589436,11325.6307,11325.6307,11325.6307
45390,11307.6579,-4.0455,-0.000357638,11307.6579,11307.6579,11307.6579
45387,11311.7034,124.213,0.011102848,11311.7034,11311.7034,11311.7034
45386,11187.4904,-138.2904,-0.012210231,11187.4904,11187.4904,11187.4904
45385,11325.7808,12.8782,0.001138364,11325.7808,11325.7808,11325.7808
45384,11312.9026,-82.1756,-0.007211499,11312.9026,11312.9026,11312.9026
45383,11395.0782,-22.9478,-0.002009787,11395.0782,11395.0782,11395.0782
45379,11418.026,13.081,0.001146959,11418.026,11418.026,11418.026
45378,11404.945,98.9327,0.00875045,11404.945,11404.945,11404.945
45377,11306.0123,-31.7272,-0.002798371,11306.0123,11306.0123,11306.0123
45376,11337.7395,-34.7495,-0.003055576,11337.7395,11337.7395,11337.7395
45373,11372.489,-15.4015,-0.001352445,11372.489,11372.489,11372.489
45372,11387.8905,37.0014,0.00325978,11387.8905,11387.8905,11387.8905
45371,11350.8891,101.6559,0.009036696,11350.8891,11350.8891,11350.8891
45370,11249.2332,63.1958,0.005649525,11249.2332,11249.2332,11249.2332
45369,11186.0374,70.3521,0.006329083,11186.0374,11186.0374,11186.0374
45366,11115.6853,-72.1601,-0.006449866,11115.6853,11115.6853,11115.6853
45365,11187.8454,-29.4578,-0.002626104,11187.8454,11187.8454,11187.8454
45364,11217.3032,-21.16,-0.00188282,11217.3032,11217.3032,11217.3032
45363,11238.4632,124.8545,0.01123438,11238.4632,11238.4632,11238.4632
45362,11113.6087,-12.4563,-0.00111956,11113.6087,11113.6087,11113.6087
45359,11126.065,-72.3279,-0.006458775,11126.065,11126.065,11126.065
45358,11198.3929,115.7418,0.010443512,11198.3929,11198.3929,11198.3929
45357,11082.6511,57.4942,0.005214819,11082.6511,11082.6511,11082.6511
45356,11025.1569,-113.2711,-0.010169397,11025.1569,11025.1569,11025.1569
45355,11138.428,-12.9167,-0.001158309,11138.428,11138.428,11138.428
45352,11151.3447,89.2375,0.008066953,11151.3447,11151.3447,11151.3447
45351,11062.1072,59.9037,0.0054447,11062.1072,11062.1072,11062.1072
45350,11002.2035,-17.2317,-0.001563755,11002.2035,11002.2035,11002.2035
45349,11019.4352,18.9363,0.001721404,11019.4352,11019.4352,11019.4352
45348,11000.4989,-41.397,-0.003749084,11000.4989,11000.4989,11000.4989
45345,11041.8959,4.0723,0.00036894,11041.8959,11041.8959,11041.8959
45344,11037.8236,228.8944,0.021176418,11037.8236,11037.8236,11037.8236
45343,10808.9292,14.13,0.001308964,10808.9292,10808.9292,10808.9292
45342,10794.7992,-64.8271,-0.005969552,10794.7992,10794.7992,10794.7992
45338,10859.6263,-50.6841,-0.004645523,10859.6263,10859.6263,10859.6263
45337,10910.3104,65.5947,0.00604854,10910.3104,10910.3104,10910.3104
45336,10844.7157,104.9045,0.009767816,10844.7157,10844.7157,10844.7157
45335,10739.8112,-147.5996,-0.013556906,10739.8112,10739.8112,10739.8112
45334,10887.4108,-10.2,-0.000935985,10887.4108,10887.4108,10887.4108
45331,10897.6108,63.2505,0.005837954,10897.6108,10897.6108,10897.6108
45330,10834.3603,7.5465,0.000697019,10834.3603,10834.3603,10834.3603
45329,10826.8138,88.6477,0.008255385,10826.8138,10826.8138,10826.8138
45328,10738.1661,25.054,0.00233863,10738.1661,10738.1661,10738.1661
45327,10713.1121,-34.1363,-0.003176283,10713.1121,10713.1121,10713.1121
45324,10747.2484,114.108,0.010731355,10747.2484,10747.2484,10747.2484
45323,10633.1404,131.7607,0.012546989,10633.1404,10633.1404,10633.1404
45322,10501.3797,-171.5682,-0.016075053,10501.3797,10501.3797,10501.3797
45321,10672.9479,-5.5552,-0.000520223,10672.9479,10672.9479,10672.9479
45320,10678.5031,80.2768,0.00757455,10678.5031,10678.5031,10678.5031
45317,10598.2263,-6.9017,-0.000650789,10598.2263,10598.2263,10598.2263
45316,10605.128,56.085,0.005316596,10605.128,10605.128,10605.128
45315,10549.043,8.6646,0.000822039,10549.043,10549.043,10549.043
45314,10540.3784,30.939,0.002943925,10540.3784,10540.3784,10540.3784
45313,10509.4394,22.9979,0.002193108,10509.4394,10509.4394,10509.4394
45310,10486.4415,128.1517,0.012371898,10486.4415,10486.4415,10486.4415
45309,10358.2898,91.2439,0.008887065,10358.2898,10358.2898,10358.2898
45308,10267.0459,-57.78,-0.00559622,10267.0459,10267.0459,10267.0459
45307,10324.8259,-38.5223,-0.003717167,10324.8259,10324.8259,10324.8259
45303,10363.3482,8.6631,0.000836636,10363.3482,10363.3482,10363.3482
45302,10354.6851,-6.5873,-0.000635762,10354.6851,10354.6851,10354.6851
45301,10361.2724,58.5442,0.005682398,10361.2724,10361.2724,10361.2724
45300,10302.7282,-13.7881,-0.001336507,10302.7282,10302.7282,10302.7282
45299,10316.5163,143.7634,0.014132202,10316.5163,10316.5163,10316.5163
45296,10172.7529,18.5576,0.00182758,10172.7529,10172.7529,10172.7529
45295,10154.1953,-33.5991,-0.003297976,10154.1953,10154.1953,10154.1953
45294,10187.7944,-81.8953,-0.007974467,10187.7944,10187.7944,10187.7944
45293,10269.6897,-58.1384,-0.005629296,10269.6897,10269.6897,10269.6897
45289,10327.8281,-28.7649,-0.002777448,10327.8281,10327.8281,10327.8281
45288,10356.593,4.9942,0.000482457,10356.593,10356.593,10356.593
45287,10351.5988,15.6227,0.001511488,10351.5988,10351.5988,10351.5988
45286,10335.9761,43.6064,0.00423677,10335.9761,10335.9761,10335.9761
45282,10292.3697,17.0705,0.001661314,10292.3697,10292.3697,10292.3697
45281,10275.2992,104.7933,0.010303647,10275.2992,10275.2992,10275.2992
45280,10170.5059,-150.3585,-0.014568402,10170.5059,10170.5059,10170.5059
45279,10320.8644,61.0177,0.005947233,10320.8644,10320.8644,10320.8644
45278,10259.8467,46.3621,0.004539303,10259.8467,10259.8467,10259.8467
45275,10213.4846,-0.2094,-2.05019E-05,10213.4846,10213.4846,10213.4846
45274,10213.694,29.3135,0.00287828,10213.694,10213.694,10213.694
45273,10184.3805,137.3364,0.013669334,10184.3805,10184.3805,10184.3805
45272,10047.0441,46.4045,0.004640153,10047.0441,10047.0441,10047.0441
45271,10000.6396,39.1371,0.003928835,10000.6396,10000.6396,10000.6396
45268,9961.5025,40.8669,0.004119383,9961.5025,9961.5025,9961.5025
45267,9920.6356,79.9906,0.008128593,9920.6356,9920.6356,9920.6356
45266,9840.645,-38.3271,-0.003879665,9840.645,9840.645,9840.645
45265,9878.9721,-5.1971,-0.0005258,9878.9721,9878.9721,9878.9721
45264,9884.1692,-53.7195,-0.005405524,9884.1692,9884.1692,9884.1692
45261,9937.8887,58.8705,0.005959145,9937.8887,9937.8887,9937.8887
45260,9879.0182,40.199,0.004085755,9879.0182,9879.0182,9879.0182
45259,9838.8192,-7.6113,-0.000773001,9838.8192,9838.8192,9838.8192
45258,9846.4305,9.6784,0.000983902,9846.4305,9846.4305,9846.4305
45257,9836.7521,-19.0858,-0.001936497,9836.7521,9836.7521,9836.7521
45254,9855.8379,6.1008,0.000619387,9855.8379,9855.8379,9855.8379
45252,9849.7371,40.3423,0.004112619,9849.7371,9849.7371,9849.7371
45251,9809.3948,-19.6261,-0.00199675,9809.3948,9809.3948,9809.3948
45250,9829.0209,73.1027,0.007493165,9829.0209,9829.0209,9829.0209
45247,9755.9182,12.7028,0.001303759,9755.9182,9755.9182,9755.9182
45246,9743.2154,13.9072,0.001429413,9743.2154,9743.2154,9743.2154
45245,9729.3082,17.2973,0.001781021,9729.3082,9729.3082,9729.3082
45244,9712.0109,183.7587,0.019285667,9712.0109,9712.0109,9712.0109
45243,9528.2522,-7.3803,-0.000773971,9528.2522,9528.2522,9528.2522
45240,9535.6325,148.0452,0.015770314,9535.6325,9535.6325,9535.6325
45239,9387.5873,-74.6652,-0.007890848,9387.5873,9387.5873,9387.5873
45238,9462.2525,9.9691,0.001054676,9462.2525,9462.2525,9462.2525
45237,9452.2834,26.9396,0.002858209,9452.2834,9452.2834,9452.2834
45236,9425.3438,16.7861,0.001784131,9425.3438,9425.3438,9425.3438
45233,9408.5577,87.9933,0.009440769,9408.5577,9408.5577,9408.5577
45232,9320.5644,173.1174,0.018925215,9320.5644,9320.5644,9320.5644
45231,9147.447,95.1348,0.010509448,9147.447,9147.447,9147.447
45230,9052.3122,58.8496,0.006543598,9052.3122,9052.3122,9052.3122
45229,8993.4626,107.5218,0.012100216,8993.4626,8993.4626,8993.4626
45226,8885.9408,-42.6895,-0.004781192,8885.9408,8885.9408,8885.9408
45225,8928.6303,-106.7668,-0.011816503,8928.6303,8928.6303,8928.6303
45224,9035.3971,-131.4002,-0.014334363,9035.3971,9035.3971,9035.3971
45223,9166.7973,66.3121,0.007286655,9166.7973,9166.7973,9166.7973
45222,9100.4852,-15.3567,-0.001684617,9100.4852,9100.4852,9100.4852
45219,9115.8419,-115.8871,-0.012553131,9115.8419,9115.8419,9115.8419
45218,9231.729,-78.1955,-0.008399155,9231.729,9231.729,9231.729
45217,9309.9245,-126.4354,-0.013398747,9309.9245,9309.9245,9309.9245
45216,9436.3599,-0.9469,-0.000100336,9436.3599,9436.3599,9436.3599
45215,9437.3068,99.2174,0.010625021,9437.3068,9437.3068,9437.3068
45212,9338.0894,-47.0665,-0.005014994,9338.0894,9338.0894,9338.0894
45211,9385.1559,-57.9737,-0.006139246,9385.1559,9385.1559,9385.1559
45210,9443.1296,40.8168,0.004341145,9443.1296,9443.1296,9443.1296
45209,9402.3128,48.9075,0.005228844,9402.3128,9402.3128,9402.3128
45208,9353.4053,58.5826,0.006302713,9353.4053,9353.4053,9353.4053
45205,9294.8227,110.015,0.011977932,9294.8227,9294.8227,9294.8227
45204,9184.8077,-10.3299,-0.001123409,9184.8077,9184.8077,9184.8077
45203,9195.1376,74.0003,0.008113056,9195.1376,9195.1376,9195.1376
45202,9121.1373,-126.3775,-0.013666104,9121.1373,9121.1373,9121.1373
45201,9247.5148,0.7757,8.3889E-05,9247.5148,9247.5148,9247.5148
45198,9246.7391,-24.8151,-0.002676477,9246.7391,9246.7391,9246.7391
45197,9271.5542,55.5326,0.006025659,9271.5542,9271.5542,9271.5542
45196,9216.0216,2.3,0.000249628,9216.0216,9216.0216,9216.0216
45195,9213.7216,-137.1796,-0.014670201,9213.7216,9213.7216,9213.7216
45194,9350.9012,37.6012,0.004037366,9350.9012,9350.9012,9350.9012
45191,9313.3,-21.2852,-0.002280251,9313.3,9313.3,9313.3
45190,9334.5852,-155.33,-0.016367902,9334.5852,9334.5852,9334.5852
45189,9489.9152,-89.35,-0.009327438,9489.9152,9489.9152,9489.9152
45188,9579.2652,-20.664,-0.002152516,9579.2652,9579.2652,9579.2652
45187,9599.9292,7.0678,0.000736777,9599.9292,9599.9292,9599.9292
45184,9592.8614,-117.6792,-0.012118707,9592.8614,9592.8614,9592.8614
45183,9710.5406,83.8656,0.008711793,9710.5406,9710.5406,9710.5406
45182,9626.675,12.0138,0.001249529,9626.675,9626.675,9626.675
45181,9614.6612,-54.6992,-0.005656962,9614.6612,9614.6612,9614.6612
45180,9669.3604,64.5876,0.006724532,9669.3604,9669.3604,9669.3604
45177,9604.7728,14.3772,0.001499125,9604.7728,9604.7728,9604.7728
45176,9590.3956,-29.588,-0.003075681,9590.3956,9590.3956,9590.3956
45175,9619.9836,-67.2737,-0.006944556,9619.9836,9619.9836,9619.9836
45174,9687.2573,-40.3867,-0.004151745,9687.2573,9687.2573,9687.2573
45170,9727.644,17.9679,0.001850515,9727.644,9727.644,9727.644
45169,9709.6761,-13.2796,-0.001365799,9709.6761,9709.6761,9709.6761
45168,9722.9557,38.7326,0.003999557,9722.9557,9722.9557,9722.9557
45167,9684.2231,138.7853,0.014539438,9684.2231,9684.2231,9684.2231
45166,9545.4378,59.5462,0.006277344,9545.4378,9545.4378,9545.4378
45163,9485.8916,64.4195,0.00683752,9485.8916,9485.8916,9485.8916
45162,9421.4721,-128.2543,-0.013430154,9421.4721,9421.4721,9421.4721
45161,9549.7264,104.5044,0.011064261,9549.7264,9549.7264,9549.7264
45160,9445.222,-26.1631,-0.002762331,9445.222,9445.222,9445.222
45159,9471.3851,64.8886,0.006898275,9471.3851,9471.3851,9471.3851
45156,9406.4965,-0.7708,-8.19367E-05,9406.4965,9406.4965,9406.4965
45155,9407.2673,-71.2709,-0.007519187,9407.2673,9407.2673,9407.2673
45154,9478.5382,-70.6289,-0.007396341,9478.5382,9478.5382,9478.5382
45153,9549.1671,-110.0973,-0.011398104,9549.1671,9549.1671,9549.1671
45152,9659.2644,55.817,0.005812184,9659.2644,9659.2644,9659.2644
45149,9603.4474,-8.9149,-0.000927441,9603.4474,9603.4474,9603.4474
45148,9612.3623,3.634,0.000378198,9612.3623,9612.3623,9612.3623
45147,9608.7283,-67.2696,-0.006952213,9608.7283,9608.7283,9608.7283
45146,9675.9979,-40.9163,-0.004210833,9675.9979,9675.9979,9675.9979
45145,9716.9142,87.1444,0.009049479,9716.9142,9716.9142,9716.9142
45142,9629.7698,-50.5881,-0.00522585,9629.7698,9629.7698,9629.7698
45141,9680.3579,-24.2676,-0.002500622,9680.3579,9680.3579,9680.3579
45140,9704.6255,-136.0862,-0.013828898,9704.6255,9704.6255,9704.6255
45139,9840.7117,-26.0585,-0.002641036,9840.7117,9840.7117,9840.7117
